Student_id,Student_Name,Subject,Score,Attendance_Percentage,Assignment_Completion
1,Nolana Serris,Support,70,99,false
2,Matthias Poundford,Business Development,84,86,false
3,Vonnie Brookwell,Marketing,73,96,false
4,Christabel Lamers,Sales,77,55,false
5,Devlen Mizzi,Engineering,67,84,false
6,Timmy Grevel,Product Management,88,80,true
7,Lek Twyford,Business Development,77,53,true
8,Barry Allmond,Business Development,97,70,false
9,Ingram Bassingden,Research and Development,63,71,false
10,Alden Habbema,Training,86,75,true
11,Wait Dearness,Services,83,90,false
12,Lowrance Ledwich,Human Resources,95,81,true
13,Wilburt Tolley,Sales,62,44,true
14,Aldo Cowpland,Product Management,60,50,false
15,Grethel Chable,Business Development,61,69,false
16,Letti MacNamee,Engineering,80,86,false
17,Pierre Kennermann,Accounting,61,61,false
18,Gleda Aikman,Engineering,91,45,false
19,Shannen Walford,Research and Development,91,58,true
20,Shay Fancy,Research and Development,98,62,false
21,Newton Goldstraw,Product Management,65,94,false
22,Mireielle Clawley,Marketing,62,61,true
23,Elie Demangeon,Training,63,99,true
24,Corie Budgett,Accounting,67,67,false
25,Grazia Gotfrey,Services,93,43,false
26,Lu Purches,Support,74,48,false
27,Gretchen Stegers,Product Management,65,68,false
28,Ottilie Manlow,Marketing,96,63,false
29,Gilbertine Heard,Sales,98,66,false
30,Katlin Iacomelli,Legal,84,78,false
31,Hy Ferrier,Services,74,51,false
32,Constantin Murby,Engineering,89,67,false
33,Sterne Kerford,Accounting,87,55,false
34,Batholomew Wellum,Research and Development,78,56,false
35,Harrietta Yaxley,Human Resources,97,88,true
36,Rodolphe Pauleau,Business Development,78,40,true
37,Arabelle Lapham,Services,87,81,false
38,Lotti Tollfree,Engineering,90,40,false
39,Lucien Voak,Business Development,65,67,false
40,Camille Goodinson,Product Management,76,56,true
41,Randolf Ismead,Human Resources,78,85,true
42,Verile Sebring,Engineering,99,62,false
43,Cathlene Woolrich,Product Management,61,41,false
44,Nichols Katte,Support,63,43,true
45,Sutherlan Bruyns,Product Management,76,40,true
46,Elianora Freckingham,Marketing,60,95,false
47,Rosina Severn,Engineering,61,71,true
48,Shandeigh Bootes,Product Management,100,87,false
49,Shoshana Yeates,Services,78,95,true
50,Lillis Beevens,Business Development,73,49,true
51,Rutter Pain,Research and Development,82,62,true
52,Thain Mullen,Engineering,77,68,true
53,Goldie Costanza,Sales,81,59,true
54,Any Ackred,Research and Development,83,99,true
55,Britney Shovlar,Product Management,84,42,true
56,Harriet Packer,Marketing,92,54,true
57,Marie-ann Battson,Research and Development,62,50,false
58,Micah Lydiard,Product Management,87,93,false
59,Quintus Penwright,Sales,75,81,true
60,Hunt Arrowsmith,Accounting,78,67,false
61,Ginni Seath,Product Management,73,79,true
62,Ilyse Blackway,Support,74,80,false
63,Ham Redihalgh,Product Management,86,50,false
64,Heriberto Fieldsend,Support,92,45,true
65,Tiler Dictus,Product Management,95,56,true
66,Gilbertine Joss,Legal,61,59,true
67,Elsy Cullerne,Support,66,74,false
68,Bucky Dady,Human Resources,95,52,false
69,Saundra Crippill,Support,90,48,true
70,Rosana Duggan,Legal,74,98,false
71,Alair Leil,Sales,99,81,false
72,Berni McGhee,Sales,91,43,false
73,Tybalt Inglish,Services,99,46,true
74,Marty Hoggetts,Services,90,91,false
75,Kerrie Janik,Research and Development,96,73,false
76,Cathryn Minghella,Human Resources,90,60,false
77,Cordey Counsell,Human Resources,84,43,true
78,Pierson Maggs,Services,90,97,false
79,Lissie Phizacklea,Human Resources,97,45,false
80,Galen Clail,Research and Development,90,97,false
81,Fonz Crookston,Business Development,81,100,false
82,Cassondra Aldrich,Training,63,85,false
83,Verene Guillem,Research and Development,89,76,false
84,Heall Rabbitt,Support,76,40,false
85,Say Castagnaro,Training,69,66,true
86,Gretta Sprade,Marketing,71,73,false
87,Corrinne ducarme,Product Management,89,84,true
88,Madeleine Tesh,Legal,91,92,false
89,Nat Toxell,Legal,62,59,true
90,Ethelbert Shead,Training,74,88,true
91,Brandy Fellibrand,Research and Development,89,51,true
92,Georas Macartney,Human Resources,77,64,true
93,Niki Lyons,Sales,88,75,false
94,Milton Fruser,Business Development,60,81,true
95,Dorolisa Back,Services,67,78,true
96,Paten Rosina,Marketing,98,82,true
97,Beth Jacks,Engineering,72,86,false
98,Tabina Dysert,Engineering,83,55,true
99,Lucien Lawland,Marketing,72,87,true
100,Ase Dorber,Support,86,76,true
101,Udale Demonge,Training,73,90,true
102,Rosalinde Rome,Services,70,73,true
103,Pauly Drakes,Research and Development,78,54,false
104,Ariana Elsley,Training,69,56,false
105,Myrtia Duiged,Support,71,46,true
106,Marilee Goosnell,Engineering,84,41,false
107,Cammie Picford,Product Management,85,83,false
108,Granville Simionescu,Business Development,78,79,false
109,Shandy Gaythwaite,Product Management,63,75,true
110,Nobe Jagg,Services,72,97,false
111,Jolee Philippet,Human Resources,73,66,true
112,Lemmy Heinzel,Research and Development,67,94,true
113,Elvis Drust,Accounting,87,70,false
114,Theodor Whorall,Engineering,91,80,false
115,David Ilymanov,Support,93,77,true
116,Lavina Wetherby,Accounting,75,50,true
117,Erminie Berthouloume,Accounting,69,80,true
118,Lulita Millard,Research and Development,72,79,true
119,Adolphe Stalman,Services,80,46,true
120,Tera Pietraszek,Training,71,66,false
121,Kori Skully,Human Resources,83,66,true
122,Olva Gerrad,Research and Development,70,66,false
123,Louisa Crunkhurn,Services,67,81,false
124,Di Godsil,Services,70,91,false
125,Dunstan Cossar,Services,74,44,true
126,Hugh Jellico,Business Development,84,74,true
127,Kathryn Goodspeed,Human Resources,61,88,false
128,Hirsch Sjollema,Legal,79,76,false
129,Ethelind Longden,Legal,84,65,false
130,Maryl Collcutt,Training,97,67,false
131,Berny Crinion,Product Management,81,42,true
132,Mozes Van der Spohr,Accounting,97,71,false
133,Abba Luppitt,Legal,85,70,false
134,Sallee Locock,Human Resources,69,47,true
135,Stefa Dignon,Sales,98,56,false
136,Dena Schuricke,Services,75,89,false
137,Hattie Franssen,Accounting,91,78,false
138,Leodora Antosch,Legal,95,85,false
139,Demetria Yate,Accounting,72,89,true
140,Mal Dametti,Marketing,98,79,false
141,Danella Damp,Legal,75,49,true
142,Cornall McLugaish,Marketing,73,59,false
143,Lib Spacie,Marketing,76,63,true
144,Melina Chaffe,Research and Development,79,80,true
145,Ganny Landon,Services,61,68,false
146,Sean Renault,Marketing,75,52,true
147,Donny Hammer,Business Development,96,49,true
148,Goober Lundbeck,Business Development,78,96,true
149,Fredia Howley,Accounting,98,73,true
150,Priscella Bowry,Support,97,58,true
151,Sonny Eddow,Accounting,75,67,false
152,Delano Shaddock,Marketing,66,54,true
153,Nichole Flaune,Training,67,79,false
154,Othilie Houseman,Research and Development,87,55,false
155,Jamal Volant,Marketing,65,87,true
156,Stearne Askin,Engineering,68,75,false
157,Marysa Spatari,Training,96,82,true
158,Amabelle Wogden,Accounting,94,79,false
159,Goober Crome,Marketing,99,92,false
160,Earlie Riggs,Research and Development,71,68,true
161,Anjela Ferry,Services,79,69,false
162,Aaren Botwright,Engineering,71,53,false
163,Babita Fassan,Legal,92,99,true
164,Didi Owtram,Product Management,68,66,true
165,Clay Youtead,Training,64,86,true
166,Jerrilee Burnes,Marketing,67,50,false
167,Christye McGrale,Marketing,76,50,true
168,Dalia Feldharker,Engineering,96,97,false
169,Hale McSharry,Engineering,71,94,true
170,Germaine Landsman,Training,81,67,true
171,Wendye Mazin,Services,93,57,true
172,Yvor Hartlebury,Sales,77,98,true
173,Marni Spriggen,Engineering,99,66,false
